"Story","Title","Result","Date","Stability","Duration (s)"
"Agregar productos al carro de compras","Agregar producto al carro de compras","PENDING","2024-01-17T18:22:21.163-05:00[America/Bogota]","0.0","0.45"
"Agregar productos al carro de compras","Agregar producto al carro de compras","SUCCESS","2024-01-17T19:24:25.188-05:00[America/Bogota]","0.0","39.51"
